igv_id,url,domain,language,status_flag,url_status,url_status_alive,url_error_type,title,meta_description,extended_description,clean_text,topic_terms,place_terms,years,time_interval,related_topic_terms,related_place_terms,source_credibility,interaction_flags,igv_type,has_embedding
66d569933086f83afaa4c2f3,http://hanshack.com/aleppo/#berlin,hanshack.com,en,usable,,,,Reprojected Destruction,,"Aleppo's destruction reprojected onto London and Berlin - March 2017. The United Nations Institute for Training and Research (UNITAR) has recently published a map which ""illustrates the percentage of buildings damaged in the city of Aleppo"" based on satellite imagery analysis. The map shows the levels of destruction in each of Aleppo’s districts. For this project ""Reprojected Destruction"" information from that map has been reprojected onto figure-ground maps of Berlin and London. As a geographical reference point, the historical center of Aleppo (The Citadel of Aleppo) has been superimposed on that of Berlin (Museum Island) and London (The Tower of London). The reprojected destruction is indicated by randomly selected buildings marked in red. To make it more representative, the distribution of the reprojected destruction has also been mapped with respect to Aleppo's administrative borders provided by OCHA . The overall aim of the exercise is to help viewers imagine the extent of destruction that might have been visited upon the UK and German capitals had these cities stood at the centre of Syria’s current conflict. Legend:","Reprojected Destruction Reprojected Destruction Aleppo's destruction reprojected onto London and Berlin - March 2017. The United Nations Institute for Training and Research (UNITAR) has recently published a map which ""illustrates the percentage of buildings damaged in the city of Aleppo"" based on satellite imagery analysis. The map shows the levels of destruction in each of Aleppo’s districts. For this project ""Reprojected Destruction"" information from that map has been reprojected onto figure-g…",destruction; reprojected; aleppo; been; onto; buildings; project; administrative; borders; march,London; Berlin; Museum Island; Syrian Arab Republic; Aleppo Governorate,2017,2017,devastation; termination; ending; conclusion; halab; alep; be; building; edifice; structure; construction; undertaking; task; labor; work; boundary line; border; borderline; delimitation; mete; boundary; bound; bounds; mar; gregorian calendar month,United Kingdom of Great Britain and Northern Ireland; Federal Republic of Germany; Aleppo Governorate; Damascus Countryside; Aleppo; Latakia Governorate; Homs Governorate; Damascus Governorate; Hama Governorate; Damascus; Tartus Governorate; Al-Hasakah Governorate; Idlib Governorate; Deir ez-Zor Governorate; Daraa Governorate; Ar-Raqqah Governorate; Homs; Al Bāb; Manbij; I‘zāz; As Safīrah; Kabbasin; ‘Ayn al ‘Arab,0.5,leaflet,thematic_map,True
66d569a83086f83afaa4c2f4,https://centerforspatialresearch.github.io/colombia_site/applications/map.html#6/4.576/-72.488,centerforspatialresearch.github.io,en,forbidden,,,,Conflict Urbanism: Colombia,,Select a municipality from the dropdown or click one on the map,"Conflict Urbanism: Colombia Toggle navigation CONFLICT URBANISM: COLOMBIA MAP TRUTH COMMISSION ANIMATION INTERACTIVE VISUALIZATION ABOUT COLOMBIA'S REPORTED INTERNALLY DISPLACED PEOPLE: 1985 - 2021 Origin Destination 100 500 1,000 5,000 10,000 40,000 Number of people affected > 100,000 50,000 - 100,000 < 50,000 Select a municipality from the dropdown or click one on the map Select a Municipality All Displacement In Out",colombia; conflict; urbanism; municipality; one; people; truth; commission; animation; visualization; reported; internally,Republic of Colombia; Citey,1985; 2021,1985–2021,republic of colombia; struggle; battle; group action; urban area; populated area; administrative district; administrative division; territorial division; 1; i; ace; single; unity; digit; figure; group; grouping; fact; committee; administrative unit; administrative body; life; living; aliveness; being; beingness; existence; visual image; visualisation; image; mental image; report; describe; account; inform,Distrito Capital de Bogotá; Bogotá; Departamento de Antioquia; Departamento del Valle del Cauca; Departamento de Cundinamarca; Departamento del Atlántico; Cali; Departamento de Santander; Departamento de Bolívar; Medellín; Departamento de Córdoba; Departamento de Nariño; Departamento de Norte de Santander; Departamento del Cauca; Departamento del Magdalena,0.5,leaflet; d3; filters,slippy_map,True
66d56ae6677e1a3eb334eb33,https://missilethreat.csis.org/russia-nato-a2ad-environment/,missilethreat.csis.org,und,forbidden,,,,403 Forbidden,,,403 Forbidden 403 Forbidden nginx,forbidden; nginx,Russian Federation; Nato,,,forbid; prohibit; interdict; proscribe; veto; disallow; nix; command,Moskva; Moscow; Moscow Oblast; Krasnodarskiy Kray; Saint Petersburg; Sankt-Peterburg; Sverdlovsk Oblast; Rostov Oblast; Bashkortostan; Tatarstan; Tyumen Oblast; Chelyabinsk Oblast; Nizhny Novgorod Oblast; Samara Oblast; Dagestan; Republic of the Philippines,0.8,,unknown,True
66d56afd677e1a3eb334eb34,https://www.buzzfeed.com/peteraldhous/spies-in-the-skies,buzzfeed.com,en,forbidden,,,,See Maps Showing Where FBI Planes Are Watching From Above,America is being watched from above. Government surveillance planes routinely circle over most major cities — but usually take the weekends off.,"Science FBI See Maps Showing Where FBI Planes Are Watching From Above America is being watched from above. Government surveillance planes routinely circle over most major cities — but usually take the weekends off. By by Peter Aldhous BuzzFeed News Reporter and by Charles Seife BuzzFeed Contributor Posted on April 6, 2016, 6:46 pm Twitter Facebook Link Each weekday, dozens of U.S. government aircraft take to the skies and slowly circle over American cities. Piloted by agents of the FBI and the Department of Homeland Security (DHS), the planes are fitted with high-resolution video cameras, often working with “augmented reality” software that can superimpose onto the video images everything from street and business names to the owners of individual homes. At least a few planes have carried devices that can track the cell phones of people below. Most of the aircraft are small, flying a mile or so above ground, and many use exhaust mufflers to mute their engines — making them hard to detect by the people they’re spying on. The government’s airborne surveillance has received little public scrutiny — until now. BuzzFeed News has assembled an unprecedented picture of the operation’s scale and sweep by analyzing aircraft location data collected by the flight-tracking website Flightradar24 from mid-August to the end of December last year, identifying about 200 federal aircraft. Day after day, dozens of these planes circled above cities across the nation. Day after day, dozens of these planes circled above cities across the nation. The FBI and the DHS would not discuss the reasons for individual flights but told BuzzFeed News that their planes are not conducting mass surveillance. The DHS said that its aircraft were involved with securing the nation’s borders, as well as targeting drug smuggling and human trafficking, and may also be used to support investigations by the FBI and other law enforcement agencies. The FBI said that its planes are only used to target suspects in s","See Maps Showing Where FBI Planes Are Watching From Above Reporting To You Sign In Sign In About Us Got A Tip? buzzfeed.com Science FBI See Maps Showing Where FBI Planes Are Watching From Above America is being watched from above. Government surveillance planes routinely circle over most major cities — but usually take the weekends off. By by Peter Aldhous BuzzFeed News Reporter and by Charles Seife BuzzFeed Contributor Posted on April 6, 2016, 6:46 pm Each weekday, dozens of U.S. government air…",planes; fbi; above; surveillance; buzzfeed; aircraft; government; cities; news; day; but; dhs,United States; Washington; District of Columbia; San Bernardino County; California; Los Angeles County; Wilāyat-e Kābul; Fremont; Minneapolis; Paris; Baltimore County; Ferguson; Missouri; Vorder Spis; Theni,2014; 2015; 2016,2014–2016,airplane; aeroplane; plane; heavier-than-air craft; federal bureau of investigation; law enforcement agency; section; subdivision; police work; police investigation; craft; authorities; regime; polity; city; metropolis; urban center; municipality; intelligence; tidings; word; information; info; twenty-four hours; twenty-four hour period; 24-hour interval; solar day; mean solar day; time unit; unit of time; merely; simply; just; only,California; Texas; New York; Florida; Pennsylvania; Illinois; Ohio; Georgia; North Carolina; Michigan; Virginia; New York City; New Jersey; Arizona; Tennessee; Seattle; Tri-Cities; Spokane; Tacoma; Vancouver; Bellevue; Kent; Everett; Renton; Federal Way; Spokane Valley; Yakima; Kirkland; Bellingham; Downtown DC; Los Angeles; San Diego; San Jose; San Francisco; Fresno; Sacramento; Long Beach; Oakland; Bakersfield; Anaheim; Riverside; Santa Ana; Stockton; Chula Vista; Islamic Republic of Afghanistan; Kabul; Republic of France; Kansas City; St. Louis; Springfield; Columbia; Independence; East Independence; Lee's Summit; O'Fallon; Saint Joseph; Saint Charles; Blue Springs; Saint Peters; Florissant; Joplin; Switzerland; Republic of India,0.3,filters; sliders,unknown,True
66d56b26677e1a3eb334eb36,http://dsl.richmond.edu/panorama/executiveabroad/#sos=66,dsl.richmond.edu,und,no_text,,,,The Executive Abroad,,,The Executive Abroad,executive; abroad,Panórama,,,executive director; administrator; decision maker; overseas,Hellenic Republic,0.9,,unknown,True
66d56b53677e1a3eb334eb38,https://pudding.cool/2017/01/shape-of-slavery/,pudding.cool,en,forbidden,,,,Mapping Slavery Against US Incarceration,How do historic incarceration rates differ between slave states (especially in the Deep South) and non-slave states (the North)?,"Jail Incarceration was much lower in 1980. We've changed the color scale (see top legend) so that you can see the difference among states. Of all the stats about US prisons, Louisiana’s incarceration rate is among the most shocking. For every 100,000 residents, 868 are in state prison. That's 0.86% of Louisiana’s population, or nearly 1 in 100 (the worst among all states). Instead of debating drug reform or systemic police discrimination, we want to understand prison rates historically. Inspired by Ava DuVernay’s documentary 13th , we began with the idea that the South’s approach to incarceration has its roots in slavery. Or more specifically, in the Jim Crow laws that targeted former slaves after the Civil War. These laws were eventually abolished, but we know that their legacy continues to the present day. Louisiana’s tragic incarceration rate is just one example among many.",Mapping Slavery Against US Incarceration Year: Slavery 1790 1830 1860 Black Population 1860 1910 1970 2010 → State Prisoners Per 100K People OFF 1910 1970 2010 Fed & State Prisoners per 100K people Jail Incarceration in 2010 ALL Black Pop. Only Jail Incarceration was much lower in 1980. We've changed the color scale (see top legend) so that you can see the difference among states. U.S. Slavery in 1860 size: SLAVE POPULATION color: Slave Population as % of Total color: Jail Inmates per 100K Peopl…,incarceration; states; slavery; south; among; population; black; rate; prison; rates; state,Département du Nord; Louisiana; Southern Province; South Carolina; Florida; Alabama; Northern Territory; City and Borough of Birmingham; United States; Chapet,1830; 1860; 1910; 1970; 1980; 2010,1830–2010,captivity; imprisonment; immurement; confinement; province; administrative district; administrative division; territorial division; bondage; thrall; thralldom; thraldom; subjugation; subjection; people; blackness; inkiness; achromatic color; achromatic colour; magnitude relation; quantitative relation; prison house; correctional institution; tax; taxation; revenue enhancement,Republic of France; United States; New Orleans; Baton Rouge; Shreveport; Metairie Terrace; Metairie; Lafayette; Lake Charles; Bossier City; Kenner; Republic of Rwanda; Gitarama; Muhanga; Butare; Columbia; Charleston; North Charleston; Mount Pleasant; Rock Hill; Greenville; Jacksonville; Miami; Tampa; Orlando; St. Petersburg; Hialeah; Tallahassee; Fort Lauderdale; Cape Coral; Pembroke Pines; Port Saint Lucie; Hollywood; Gainesville; Miramar; Huntsville; Birmingham; Montgomery; Mobile; Tuscaloosa; Hoover; Dothan; Auburn; Decatur; Commonwealth of Australia; Darwin; United Kingdom of Great Britain and Northern Ireland; California; Texas; New York; Pennsylvania; Illinois; Ohio; Georgia; North Carolina; Michigan; Virginia; New York City; New Jersey; Arizona; Tennessee,0.5,d3; filters,unknown,True
66d56b81677e1a3eb334eb3a,https://whitecollar.thenewinquiry.com/#dr5rukp,whitecollar.thenewinquiry.com,en,usable,,,,White Collar Crime Risk Zones,A machine learning system that predicts where white collar crimes will occur throughout the US.,"White Collar Crime Risk Zones uses machine learning to predict where financial crimes are mostly likely to occur across the US. To learn about our methodology, read our white paper . By Brian Clifton , Sam Lavigne and Francis Tseng for The New Inquiry Magazine , Vol. 59: ABOLISH .","White Collar Crime Risk Zones White Collar Crime Risk Zones White Collar Crime Risk Zones uses machine learning to predict where financial crimes are mostly likely to occur across the US. To learn about our methodology, read our white paper . By Brian Clifton , Sam Lavigne and Francis Tseng for The New Inquiry Magazine , Vol. 59: ABOLISH . Search Close Most Likely Suspect Top Risk Likelihoods Approx. Crime Severity (in USD) Nearby Financial Firms Thank you for visiting White Collar Crime Risk Zo…",white; collar; crime; risk; zones; machine; learning; where; crimes; occur; financial; likely,,,,white person; caucasian; person; individual; someone; somebody; mortal; soul; neckband; band; offense; criminal offense; criminal offence; offence; law-breaking; transgression; evildoing; hazard; jeopardy; peril; endangerment; danger; zone; topographic point; place; spot; device; acquisition; basic cognitive process; happen; hap; go on; pass off; pass; fall out; come about; take place; fiscal,,0.5,d3,unknown,True
66d56bb1677e1a3eb334eb3c,https://atlas.developmentseed.org/,atlas.developmentseed.org,en,forbidden,,,,Connectivity Atlas | Development Seed,Explore how global infrastructure links us all with the Connectivity Atlas.,,Connectivity Atlas | Development Seed Toggle navigation Connectivity Atlas Sources Themes Show All Communications Energy Transportation About Data Share Twitter Facebook Loading...,connectivity; atlas; development; seed; explore; how; global; infrastructure; sources; themes; communications; energy,,,,property; improvement; fruit; research; search; investigate; look into; planetary; world; worldwide; world-wide; substructure; structure; beginning; origin; root; rootage; source; point; subject; topic; theme; message; content; subject matter; substance; communication theory; discipline; subject area; subject field; field; field of study; study; free energy; physical phenomenon,,0.5,mapbox; filters,dashboard,True
66d56bca677e1a3eb334eb3d,https://globaldiplomacyindex.lowyinstitute.org/,globaldiplomacyindex.lowyinstitute.org,en,usable,,,,Lowy Institute Global Diplomacy Index 2024,"An interactive map that visualises the diplomatic networks of 66 countries and territories in Asia, the G20, and the OECD.","The Global Diplomacy Index is an interactive tool that maps the world’s most significant diplomatic networks. It includes 66 countries or territories in Asia, the Group of 20 (G20), and the Organisation for Economic Co-operation and Development (OECD), drawing on data collected up to November 2023. The Index visualises where these countries or territories invest in diplomacy, how they compare to each other in terms of their global diplomatic footprints, and how their networks have evolved over time. Select a country or city to view its diplomatic connections. Use the timeline to see data from previous years. Due to the amount of data being presented, this interactive is best viewed on larger screens - laptops or desktops. Below you will find summary graphics of the top 5 diplomatic networks.","Lowy Institute Global Diplomacy Index 2024 LOWY INSTITUTE GLOBAL DIPLOMACY INDEX Explore Map The Global Diplomacy Index is an interactive tool that maps the world’s most significant diplomatic networks. It includes 66 countries or territories in Asia, the Group of 20 (G20), and the Organisation for Economic Co-operation and Development (OECD), drawing on data collected up to November 2023. The Index visualises where these countries or territories invest in diplomacy, how they compare to each oth…",diplomatic; countries; global; diplomacy; networks; territories; lowy; institute; asia; oecd; visualises,Hinoba-An; Index,2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024,2016–2024,state; nation; country; land; commonwealth; res publica; body politic; political unit; planetary; world; worldwide; world-wide; diplomatic negotiations; negotiation; dialogue; talks; network; web; system; scheme; district; territory; territorial dominion; dominion; region; association; visualize; visualise; watch; view; see; catch; take in,Republic of the Philippines; United States,0.5,d3; filters; sliders,unknown,True
66d56c01677e1a3eb334eb3f,http://chicagosmilliondollarblocks.com/,chicagosmilliondollarblocks.com,en,usable,,,,Chicago's Million Dollar Blocks,Illinois allocates an incredible amount of money to incarcerate people from Chicago's poorest neighborhoods — sometimes millions for residents on individual city blocks. There are more effective ways to invest public dollars.,"Illinois spending on incarceration is ineffective & costly to all. There are better ways to invest public dollars. With roughly $8 billion in unpaid bills, the State of Illinois is facing a fiscal crisis. Meanwhile, in 2015, Illinois committed $1.4 billion dollars to the Department of Corrections, and that number is on the rise despite declining crime levels .","Chicago's Million Dollar Blocks Chicago's Million Dollar Blocks Chicago's Million Dollar Blocks Intro Alternatives Evidence About Full Map Drug-related All offenses Million Dollar Blocks Illinois spending on incarceration is ineffective & costly to all. There are better ways to invest public dollars. With roughly $8 billion in unpaid bills, the State of Illinois is facing a fiscal crisis. Meanwhile, in 2015, Illinois committed $1.4 billion dollars to the Department of Corrections, and that numbe…",blocks; incarceration; chicago; million; neighborhoods; dollars; there; committed; dollar; public; spending,City of Chicago; Illinois; Alabama; Arizona; Connecticut; Hawaii; Idaho; Indiana; Kansas; Michigan; Nebraska; Nevada; New Hampshire; North Carolina; Ohio; Oklahoma; Pennsylvania; Rhode Island; Texas; Washington; West Virginia; Vermont,2000; 2005; 2009; 2013; 2015,2000–2013,block; artifact; artefact; captivity; imprisonment; immurement; confinement; windy city; 1000000; one thousand thousand; meg; large integer; vicinity; locality; neighborhood; neighbourhood; neck of the woods; section; monetary unit; location; perpetrate; commit; pull; act; move; populace; world; people; disbursement; disbursal; outlay; payment; defrayal; defrayment,United States; Chicago; Aurora; Rockford; Joliet; Naperville; Peoria; Springfield; North Peoria; Elgin; Waukegan; West Town; Champaign; Near North Side; Cicero; Huntsville; Birmingham; Montgomery; Mobile; Tuscaloosa; Hoover; Dothan; Auburn; Decatur; Phoenix; Tucson; Mesa; Chandler; Gilbert; Glendale; Scottsdale; Maryvale; Tempe; Deer Valley; Tempe Junction; Surprise; Alhambra; Bridgeport; New Haven; Stamford; North Stamford; Hartford; Waterbury; Norwalk; Danbury; East Norwalk; New Britain; West Hartford; Bristol; Meriden; Hamden; Honolulu; Boise; Meridian; Nampa; Idaho Falls; Pocatello; Caldwell; Indianapolis; Fort Wayne; Evansville; South Bend; Carmel; Bloomington; Hammond; Gary; Fishers; Lafayette; Muncie; Terre Haute; Noblesville; Kokomo; Wichita; Overland Park; Kansas City; Olathe; Topeka; Lawrence; Shawnee; Manhattan; Lenexa; Detroit; Grand Rapids; Warren; Sterling Heights; Ann Arbor; Lansing; Clinton Township; Flint; Dearborn; Livonia; Canton; Troy; Westland; Farmington Hills; Omaha; Lincoln; Bellevue; Grand Island; Las Vegas; Henderson; Reno; North Las Vegas; Paradise; Sunrise Manor; Spring Valley; Enterprise; Sparks; Carson City; Manchester; Nashua; Charlotte; Raleigh; West Raleigh; Greensboro; Durham; Winston-Salem; Fayetteville; Cary; Wilmington; High Point; Asheville; Greenville; Concord; Gastonia; Columbus; Cleveland; Cincinnati; Toledo; Akron; Dayton; Parma; Youngstown; Lorain; Hamilton; Kettering; Elyria; Oklahoma City; Tulsa; Norman; Broken Arrow; Lawton; Edmond; Moore; Midwest City; Enid; Philadelphia; Pittsburgh; Allentown; Erie; Reading; Scranton; Bethlehem; Bensalem; Lancaster; Center City; Abington; Levittown; Havertown; Harrisburg; Providence; Warwick; Cranston; Pawtucket; Houston; San Antonio; Dallas; Fort Worth; Austin; El Paso; Arlington; Corpus Christi; Plano; Laredo; Lubbock; Garland; Irving; Cypress; Seattle; Tri-Cities; Spokane; Tacoma; Vancouver; Kent; Everett; Renton; Federal Way; Spokane Valley; Yakima; Kirkland; Bellingham,0.5,leaflet; mapbox; highcharts,story_map,True
